id,scenario_id,prediction,baseline_answer,confidence,type
11,01455e30-c21f-44e0-9ca8-62af01e4e0bb,Beta-Node-03->Beta-Axis-02->Beta-Portal-02->Alpha-Center-02,Beta-Node-03->Beta-Axis-02->Beta-Portal-02->Alpha-Center-02,HIGH,PATH
12,ae420b76-ca25-4a60-b9b4-b3367aefb926,Beta-Node-01->Beta-Axis-02->Beta-Portal-02->Alpha-Center-02->Gamma-Portal-02->Gamma-Axis-02->Gamma-Node-01,Beta-Node-01->Beta-Axis-02->Beta-Portal-02->Alpha-Center-02->Gamma-Portal-02->Gamma-Axis-02->Gamma-Node-01,HIGH,PATH
13,f002adc4-d603-4b10-b9b1-4f7b4a0526bf,Gamma-Node-02->Gamma-Axis-02->Gamma-Portal-02->Alpha-Center-02->Beta-Portal-02->Beta-Axis-02->Beta-Node-04,Gamma-Node-02->Gamma-Axis-02->Gamma-Portal-02->Alpha-Center-02->Beta-Portal-02->Beta-Axis-02->Beta-Node-04,MEDIUM-HIGH,PATH
14,c03fb42a-863f-4154-bfdc-e05fdf73b958,Delta-Node-02->Delta-Axis-02->Delta-Portal-02->Alpha-Center-02->Gamma-Portal-02->Gamma-Axis-02->Gamma-Node-02,Delta-Node-02->Delta-Axis-02->Delta-Portal-02->Alpha-Center-02->Gamma-Portal-02->Gamma-Axis-02->Gamma-Node-02,HIGH,PATH
15,c78207f0-3ea9-492f-8262-e97f6d759341,Gamma-Node-04->Gamma-Axis-02->Gamma-Portal-02->Alpha-Center-02->Delta-Portal-02->Delta-Axis-02->Delta-Node-01,Gamma-Node-04->Gamma-Axis-02->Gamma-Portal-02->Alpha-Center-02->Delta-Portal-02->Delta-Axis-02->Delta-Node-01,HIGH,PATH
16,ccc12121-03ca-461d-8999-99f1341fd2c7,Beta-Aegis-02->Beta-Portal-02->Alpha-Center-02->Delta-Portal-02->Delta-Axis-02->Delta-Node-04,Beta-Aegis-02->Beta-Portal-02->Alpha-Center-02->Delta-Portal-02->Delta-Axis-02->Delta-Node-04,HIGH,PATH
17,a643f2d3-a4af-46ae-aa5d-8c63b3804658,Alpha-Center-02;192.168.70.22;missing static route,Alpha-Center-02;192.168.70.22;missing static route,HIGH,FAULT
18,b9a77dd0-39e5-4d7b-9e9c-af61213b30ea,Gamma-Portal-02;192.168.70.22;missing static route,Gamma-Portal-02;192.168.70.22;missing static route,MEDIUM-HIGH,FAULT
19,674afa1d-ae0d-4a52-81d7-b391efbd2414,Beta-Portal-02;192.168.70.22;missing static route,Beta-Portal-02;192.168.70.22;missing static route,MEDIUM-HIGH,FAULT
20,c1ee910f-54db-494c-b4ff-18ad7c671502,Alpha-Center-02;GE1/0/2;shutdown,Alpha-Center-02;GE1/0/2;shutdown,HIGH,FAULT
21,a6e3621c-5802-4f61-a266-b52643eff06c,Alpha-Center-02;192.168.70.22;missing static route,Alpha-Center-02;192.168.70.22;missing static route,HIGH,FAULT
22,25413f55-4923-4b8c-9da5-0b45367e9dd7,Gamma-Portal-02;192.168.70.22;missing static route,Gamma-Portal-02;192.168.70.22;missing static route,MEDIUM-HIGH,FAULT
23,936127eb-695a-4c3f-8705-23ce467c81f7,Delta-Axis-02;192.168.74.61;missing static route,Delta-Axis-02;192.168.74.61;missing static route,HIGH,FAULT
24,1bbdb90e-e0d1-435c-aa52-cf8c27b0b724,Delta-Portal-02;192.168.72.78;missing static route,Delta-Portal-02;192.168.72.78;missing static route,MEDIUM-HIGH,FAULT
25,acbae2eb-03e1-44ad-bc01-957e1d58dd3a,Alpha-Center-02;192.168.70.70;static route error,Beta-Node-01;192.168.70.70;static route error,HIGH,FAULT
26,c408d8a4-b09b-49cf-a9c9-b783575cf547,Gamma-Axis-02;192.168.74.45;missing static route,Gamma-Axis-02;192.168.74.45;missing static route,MEDIUM-HIGH,FAULT
27,05970bd7-fbe3-4cdd-9eef-1e0ac009c90c,Gamma-Portal-02;192.168.70.22;missing static route,Gamma-Portal-02;192.168.70.22;missing static route,MEDIUM-HIGH,FAULT
28,25808901-5993-4dde-b09f-bccfd99a09b8,Gamma-Axis-02;192.168.70.93;routing loop,Beta-Node-01;192.168.70.93;static route error,HIGH,FAULT
29,dd11da6b-0ded-4417-bfd5-e36d996e1189,Demeter-Prime-01(GE1/0/0)->Atlas-Prime-01(GE1/0/2)\nDemeter-Prime-01(GE1/0/1)->Atlas-Prime-02(GE1/0/2),Demeter-Prime-01(GE1/0/0)->Atlas-Prime-01(GE1/0/2)\nDemeter-Prime-01(GE1/0/1)->Atlas-Prime-02(GE1/0/2),HIGH,TOPO
30,dad1f1ad-a21e-4831-a6b2-763e8eebd026,Atlas-Prime-01(GE1/0/0)->Janus-Prime-01(GE1/0/0)\nAtlas-Prime-01(GE1/0/1)->Janus-Prime-02(GE1/0/0)\nAtlas-Prime-01(GE1/0/2)->Demeter-Prime-01(GE1/0/0)\nAtlas-Prime-01(GE1/0/3)->Demeter-Prime-02(GE1/0/0),Atlas-Prime-01(GE1/0/0)->Janus-Prime-01(GE1/0/0)\nAtlas-Prime-01(GE1/0/1)->Janus-Prime-02(GE1/0/0)\nAtlas-Prime-01(GE1/0/2)->Demeter-Prime-01(GE1/0/0)\nAtlas-Prime-01(GE1/0/3)->Demeter-Prime-02(GE1/0/0),HIGH,TOPO
31,a346ef65-4abd-4e27-b7c6-06fc70a4f1c0,Janus-Prime-01(GE1/0/0)->Atlas-Prime-01(GE1/0/0)\nJanus-Prime-01(GE1/0/1)->Atlas-Prime-02(GE1/0/0)\nJanus-Prime-01(GE1/0/2)->PX1(GE1/0/0)\nJanus-Prime-01(GE1/0/4)->Janus-Prime-02(GE1/0/4)\nJanus-Prime-01(GE1/0/5)->Aegis-Prime-01(GE1/0/2),Janus-Prime-01(GE1/0/0)->Atlas-Prime-01(GE1/0/0)\nJanus-Prime-01(GE1/0/1)->Atlas-Prime-02(GE1/0/0)\nJanus-Prime-01(GE1/0/2)->PX1(GE1/0/0)\nJanus-Prime-01(GE1/0/4)->Janus-Prime-02(GE1/0/4)\nJanus-Prime-01(GE1/0/5)->Aegis-Prime-01(GE1/0/2),MEDIUM-HIGH,TOPO
32,d5a0f37b-4042-4570-ba17-7677fc7ebe01,Aegis-Prime-01(GE1/0/0)->Janus-Prime-02(GE1/0/5)\nAegis-Prime-01(GE1/0/1)->Aegis-Prime-02(GE1/0/1)\nAegis-Prime-01(GE1/0/3)->Eon-Node-01(GE1/0/1),Aegis-Prime-01(GE1/0/0)->Janus-Prime-02(GE1/0/5)\nAegis-Prime-01(GE1/0/1)->Aegis-Prime-02(GE1/0/1)\nAegis-Prime-01(GE1/0/3)->Eon-Node-01(GE1/0/1),MEDIUM-HIGH,TOPO
33,212e5d0c-4377-45da-b3f5-3d0725db8f1e,Janus-Node-02(GE1/0/2)->Atlas-Node-01(GE1/0/2)\nJanus-Node-02(GE1/0/3)->Atlas-Node-02(GE1/0/2)\nJanus-Node-02(GE1/0/4)->Aegis-Node-01(GE1/0/1)\nJanus-Node-02(GE1/0/5)->Janus-Node-01(GE1/0/5),Janus-Node-02(GE1/0/2)->Atlas-Node-01(GE1/0/2)\nJanus-Node-02(GE1/0/3)->Atlas-Node-02(GE1/0/2)\nJanus-Node-02(GE1/0/4)->Aegis-Node-01(GE1/0/1)\nJanus-Node-02(GE1/0/5)->Janus-Node-01(GE1/0/5),MEDIUM-HIGH,TOPO
34,b1db0a53-17fe-4adc-8547-f1612b560def,Hermes-Prime-01->Demeter-Prime-01->Atlas-Prime-01->Demeter-Prime-02->Hermes-Prime-02,Hermes-Prime-01->Demeter-Prime-01->Atlas-Prime-01->Demeter-Prime-02->Hermes-Prime-02,MEDIUM-HIGH,PATH
35,7e7e51e6-fcae-43f4-a3c7-567897f6eb19,Hermes-Prime-01->Demeter-Prime-01->Atlas-Prime-01->Janus-Prime-01->Aegis-Prime-01->Eon-Node-01->Gaia-Node-01->Janus-Node-01->Atlas-Node-01->Demeter-Node-01->Hermes-Node-01,Hermes-Prime-01->Demeter-Prime-01->Atlas-Prime-01->Janus-Prime-01->Aegis-Prime-01->Eon-Node-01->Gaia-Node-01->Janus-Node-01->Atlas-Node-01->Demeter-Node-01->Hermes-Node-01,MEDIUM-HIGH,PATH
36,7027305f-721e-4647-a386-1d40c90629c7,Hermes-Node-01->Demeter-Node-01->Atlas-Node-01->Janus-Node-01->Gaia-Node-01->Eon-Node-01->Aegis-Prime-01->Janus-Prime-01->Atlas-Prime-01->Demeter-Prime-01->Hermes-Prime-01,Hermes-Node-01->Demeter-Node-01->Atlas-Node-01->Janus-Node-01->Gaia-Node-01->Eon-Node-01->Aegis-Prime-01->Janus-Prime-01->Atlas-Prime-01->Demeter-Prime-01->Hermes-Prime-01,MEDIUM-HIGH,PATH
37,66a84648-2cde-4026-be8f-29a1b52cd70f,Hermes-Node-01->Demeter-Node-01->Atlas-Node-01->Demeter-Node-02->Hermes-Node-02,Hermes-Node-01->Demeter-Node-01->Atlas-Node-01->Demeter-Node-02->Hermes-Node-02,MEDIUM-HIGH,PATH
38,19740344-6fd7-4294-9f14-73ec053fc2cf,Hermes-Prime-01->Demeter-Prime-01->Atlas-Prime-01->Janus-Prime-01->Aegis-Prime-01->Eon-Node-01->Gaia-Node-01->Janus-Node-01->Atlas-Node-01->Demeter-Node-02->Hermes-Node-02,Hermes-Prime-01->Demeter-Prime-01->Atlas-Prime-01->Janus-Prime-01->Aegis-Prime-01->Eon-Node-01->Gaia-Node-01->Janus-Node-01->Atlas-Node-01->Demeter-Node-02->Hermes-Node-02,MEDIUM-HIGH,PATH
39,96636d0e-1c71-4c58-b661-d853acf155db,Demeter-Prime-01;20.1.1.10;missing static route,Demeter-Prime-01;20.1.1.10;missing static route,MEDIUM-HIGH,FAULT
40,de1443a9-026a-4820-89fd-f1ecc55de414,Demeter-Prime-01;10.1.6.3;missing static route,Demeter-Prime-01;10.1.6.3;missing static route,MEDIUM-HIGH,FAULT
41,2039bb7b-3cd9-4453-8686-89090a8e66e7,Demeter-Prime-01;10.1.6.3;missing static route,Demeter-Prime-01;10.1.6.3;missing static route,MEDIUM-HIGH,FAULT
42,7f9d4a00-9e4a-40c6-becb-c2c770972aba,Demeter-Prime-02;GE1/0/5;MAC address configuration error,Demeter-Prime-02;GE1/0/5;MAC address configuration error,MEDIUM-HIGH,FAULT
43,a499f356-3c51-4926-aeca-3bdc8b383dc7,Demeter-Prime-01;20.1.1.10;missing static route,Demeter-Prime-01;20.1.1.10;missing static route,MEDIUM-HIGH,FAULT
44,71c700c5-3cef-4a0c-a1b3-9f9c724c5db3,Aegis-Prime-02;Eth-Trunk2.60;shutdown,Aegis-Prime-02;Eth-Trunk2.60;shutdown,MEDIUM-HIGH,FAULT
45,b20f9906-9180-4ba0-a97a-75256abc0206,Aegis-Prime-02;Eth-Trunk2.60;shutdown,Aegis-Prime-02;Eth-Trunk2.60;shutdown,MEDIUM-HIGH,FAULT
46,f90c328d-67c1-4725-9b2c-a823d3b81062,Demeter-Prime-01;20.1.1.10;missing static route,Demeter-Prime-01;20.1.1.10;missing static route,MEDIUM-HIGH,FAULT
47,29afe162-7cea-483e-bc2c-a4a82e54b665,Demeter-Prime-01;20.1.1.20;missing static route,Demeter-Prime-01;20.1.1.20;missing static route,MEDIUM-HIGH,FAULT
48,558b0d56-9b59-47d8-a9be-5eb03c8a77b3,Demeter-Prime-01;20.1.1.20;missing static route,Demeter-Prime-01;20.1.1.20;missing static route,MEDIUM-HIGH,FAULT
49,3536d71e-be41-4dfc-8cbd-dc22feedf2fb,Demeter-Prime-01;20.1.4.10;missing static route,Demeter-Prime-01;20.1.4.10;missing static route,MEDIUM-HIGH,FAULT
50,463bbeb7-c99a-4d73-b066-87589503875e,Hermes-Prime-01;10.1.1.20;ARP configuration error,Hermes-Prime-01;10.1.1.20;ARP configuration error,MEDIUM-HIGH,FAULT
